문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
477865371,질문부모님이 이혼하실것 같아요..도와주세요..,안녕하세요.이제 중학교 올라가는 6학년 여학생입니다. 예전에도 부모님이 심하게 싸우셧거든요.예전에는 부부싸움때문에 경찰도 왔었어요.3~4학년부터 이혼이라는 단어를 오랫동안 들어왔는데 너무 무섭습니다 일단 엄마가 전에도 아빠와 싸운후 집을 나가겠다고 하셨고 이혼도 하실거라 했는데 다 잘풀리고 다시 잘 지내다가 다시 또 싸우게 되셨는데 이번에 진짜 이혼서류를 준비중입니다.너무 무서워요.엄마가 집을 나간다는게 재일 무섭습니다.제가 여학생이기도하고 밥이나 옷 같은것도 엄마가 챙겨주시거든요..엄마가 그냥 집 안나가고 저랑 엄마랑 아빠랑 다같이 살면 좋겠어요.너무 무섭습니다.도와주세요.엄마 아빠가 이혼을 한다는 그 생각만해도 눈물이 날거같고 왜 나만 이렇게 불행한지 생각이 듭니다.너무 괴로워요.,120924, 42,2024.11.16
477736036,질문너무 소름끼쳐요 ㅈㅂ,친구 소개로 다른 분을 만나게 되있는데 얼굴도 모르고 목소리만 듣은 사이거든요..근데 그분 목소리는 귀여운 목소리에 애교체 쓰시고 누가봐도 여자신데 나중에 알고보니 고등학생 남자더라고요..어떡해야하죠.먼저 친하게 지내자고 디엠이 왔는데 너무 소름 끼칩니다. 물론 목소리는 일부러 하시는 걸수있고 개인적인 일 때문에 그럴수도 있지만 전 너무 무섭고 소름입니다.어떡해야하죠?제발 도와주세요..,120924, 36,2024.11.13
477540155,질문모락고 질문,1. 모락고 남녀 분반이라는 얘기가 있던데 진짠가요..ㅠㅠ 2. 모락고 전자기기 다 걷나요? 3. 체육복 등교 안되나요?? 4. 학교 분위기 어떤가용??,120924, 34,2024.11.06
477330189,질문의왕역에서 3000원 뜯겼습니다,천원 있던 카드 의왕역에서 3000원 충전해서 4000원 만들어 타고 수원역에서 내랴서 카드 찍었더니 1000원 남아있더군요 어디다가 민원 넣어야 합니까?,120924, 22,2024.10.31
477136011,질문에듀의왕 어울림 축제에서 안예은 영상 찍으신분,있으시면 제발좀 보내주세요,120924, 26,2024.10.27
476954995,질문의왕역 가려면,성대에서 의왕역 가려면 어떻게 가야하나요? 급한데 자세히 알려쥬실 분,120924, 30,2024.10.22
476849187,질문2015년쯤에는 학원 선생님들이 때리기도 했나요?,의왕시 오전동에 있는 한 종합 학원을 다녔어요 2015년 중학생이었을때 학원에 1분만 지각해도 큰 주걱으로 손바닥 매우 쎄게 맞고.. 질문한거에 대답 못하면 겨드랑이 안쪽에 엄청 약한 살 손톱으로 꼬집힘 당해서(매우아픔) 피멍들고 손톱자국 나고 그랬었는데.. 그때는 학생이었으니까 말도 못하고 그런갑다 했는데 성인이 된 지금 다시 생각하니 이건 너무 아닌것 같아서요 ㅠ 원래 그쯤에 다들 학원에서 맞았나요..? 참고로 밑에 내손동 아닙니다 왜 삭제가 안되는지ㅠㅜ,120924, 71,2024.10.20
476802076,질문산 정상에 아디다스 져지 두고왔는데 어떻게 찾나요,방법이 있을까요,120924, 22,2024.10.18
476748395,질문흥진고등학교 진학,의왕부곡중에서 흥진고등학교 진학하고싶은 중3입니다 작년에는 군포지역중학교 졸업생중 70%? 먼저 뽑고 그 다음에 다른 지역에서 뽑아서 의왕졸업자 확률이 희박하다고 들었는데 맞나요? 올해 제가 들은 거로는 학군내배정과 구역내배정이 있었거든요 작년이랑 전형이 다른건지.? 1지망 흥진고 쓴 사람들끼리만 랜덤인건가요? 자세히 알려주실 분 구함요,120924, 26,2024.10.17
475943739,질문애완닭을 죽였어요,청계닭 한마리를 키웁니다. 이 녀석이 가끔 담장을 넘어 뒷집에 가서 놀다 오는데 오늘은 뒷집에 놀러온 어떤 아줌마한테 잡혀 우리집 닭장 담벼락에 패대기쳐져 죽었습니다. 어떤 상응한 대응을 하고 싶은데 어떻게 해야할지를 모르겠습니다. 닭 관리를 못한 저에게도 잘못은 있지만 그게 그렇게 닭을 패대기 쳐 죽일 정도일까요? 닭풀어놓지 마라하면 가두고 키울텐데 여태 가만히 있다가... 제가 평소 잘못한것도 없는데 진짜 조용히 사는데.,120924, 25,2024.09.28
478128472,질문의정부신점 최근에 가보신분,친하게 지냈던 사람과 돈문제로 남보다 못한사이가 되었습니다 저 스스로는 해결방안이 안떠올라 신점에 의지해보려고 하는데 돈 관련해서 의정부신점 용한 곳 있으면 정보 부탁드립니다,120925, 16,2024.11.21
478069591,질문의정부에 기타 대여하는곳 있나요?,일주일만 기타 필리고 싶은데 기타 대여해주는곳 있나요? 의정부에?,120925, 8,2024.11.18
478062185,질문의정부 맛집 추천해주세요~!,의정부 맛집 알고계신곳 추천해주세용,120925, 17,2024.11.18
478054186,질문80대들은모닝이스타나쏘렌토갤로퍼차운전합니까,,120925, 22,2024.11.18
478020533,질문의정부 디스코팡팡...,의정부 디스코팡팡 지금도 운영하나요??? 타보고 싶어요,120925, 13,2024.11.17
477956934,질문의정부에서 포토샵한글문서 무료로 사용가능한곳은?,포토샵과 한글엑셀등 문서를 무료로 사용가능한곳 어디없나요ㅠㅠㅠ피방이라던가 관공서라던가,120925, 19,2024.11.16
